time, pressure
86.5469, 655.8366
86.6467, 655.5253
86.7465, 655.5253
86.8485, 655.5253
86.9484, 655.6031
87.0483, 655.8366
87.1501, 655.5253
87.2499, 655.8366
87.3497, 655.6809
87.4515, 655.9922
87.5506, 655.8366
87.6525, 655.9922
87.7523, 655.7588
87.8542, 655.5253
87.954, 655.5253
88.0538, 655.7588
88.1556, 655.7588
88.2556, 655.9144
88.3554, 655.5253
88.4572, 655.7588
88.557, 655.5253
88.6568, 655.6809
88.7587, 655.6031
88.8586, 655.9144
88.9586, 655.8366
89.0605, 655.6031
89.1603, 655.6809
89.2601, 655.3696
89.362, 655.6809
89.4618, 655.6031
89.5616, 655.6809
89.6634, 655.6031
89.7632, 655.6031
89.863, 655.7588
89.9656, 655.9922
90.0656, 654.0467
90.1654, 653.9689
90.2651, 653.8911
90.3671, 655.5253
90.4669, 653.6576
90.5668, 653.7354
90.6687, 653.8911
90.7685, 653.8132
90.8683, 655.9144
90.9705, 655.7588
91.0703, 655.6031
91.1702, 655.3696
91.2721, 653.8132
91.3719, 653.6576
91.4717, 653.7354
91.5737, 655.7588
91.6739, 655.3696
91.7739, 655.3696
91.8737, 655.6031
91.9756, 655.7588
92.0754, 655.5253
92.1751, 655.6809
92.277, 653.8911
92.3775, 655.5253
92.4772, 653.9689
92.577, 655.8366
92.6789, 655.5253
92.7789, 653.8911
92.8786, 653.7354
92.9807, 653.6576
93.0805, 653.8132
93.1802, 653.8132
93.2822, 653.9689
93.382, 653.9689
93.4818, 653.7354
93.5836, 653.8132
93.6834, 653.8911
93.7831, 654.0467
93.885, 653.8911
93.9849, 653.5798
94.0846, 654.0467
94.1865, 654.1245
94.2863, 653.7354
94.3882, 653.7354
94.4881, 653.9689
94.5879, 654.0467
94.6898, 653.8132
94.7903, 653.8911
94.8901, 653.9689
94.99, 653.9689
95.0898, 653.8911
95.1917, 653.8911
95.2914, 653.8911
95.3934, 653.9689
95.4932, 653.8132
95.593, 653.8132
95.6949, 653.8911
95.7948, 653.9689
95.8946, 653.8911
95.9965, 653.8911
96.0964, 653.5798
96.1961, 653.8911
96.2984, 654.0467
96.3982, 653.9689
96.4982, 653.6576
96.5981, 653.8911
96.7003, 653.8132
96.8001, 653.6576
96.8999, 653.8911
97.0019, 653.9689
97.1017, 653.8132
97.2015, 653.6576
97.3027, 653.9689
97.4026, 653.5798
97.5044, 653.6576
97.6042, 653.7354
97.7041, 653.9689
97.806, 653.8132
97.9058, 653.7354
98.0057, 653.9689
98.1075, 653.9689
98.2072, 653.8911
98.307, 653.8132
98.4088, 653.5798
98.5086, 653.9689
98.6084, 653.7354
98.7104, 653.9689
98.8101, 653.8132
98.9099, 654.1245
99.0118, 653.7354
99.1115, 653.8911
99.2134, 653.7354
99.3133, 653.8911
99.4132, 652.0233
99.5134, 653.8911
99.6154, 653.8911
99.7145, 653.6576
99.8165, 653.6576
99.9164, 652.1012
100.0164, 653.7354
100.1163, 653.8132
100.2181, 654.0467
100.3179, 653.8911
