time, force
98.2072, -91.20007655380297
98.307, -91.18486148546276
98.4088, -91.2074448573388
98.5086, -91.22390392497728
98.6084, -91.21069839396502
98.7104, -91.2002679383104
98.8101, -91.15988580724391
98.9099, -91.20122486084752
99.0118, -91.20620085804055
99.1115, -91.25299437010574
99.2134, -91.26495590181975
99.3133, -91.26562574759573
99.4132, -91.27663035677263
99.5134, -91.24562606656991
99.6154, -91.30170172724519
99.7145, -91.31892633291335
99.8165, -91.30734757021419
99.9164, -91.31500295051116
100.0164, -91.30811310824389
100.1163, -91.28725219693466
100.2181, -91.33146201814964
100.3179, -91.34112693577455
100.4178, -91.3517487759366
100.5197, -91.29146265609799
100.6194, -91.33347155547759
100.7213, -91.34323216535621
100.821, -91.35031339213091
100.9209, -91.38074352881135
101.0229, -91.33155771040335
101.1228, -91.35624631186106
101.2226, -91.35117462241432
101.3244, -91.36916476611219
101.4243, -91.34485893366933
101.5242, -91.38610229501923
101.6241, -91.42600596481715
101.7259, -91.44323057048533
101.8258, -91.36189215483007
101.9257, -91.41480997113284
102.0276, -91.43299149933813
102.1268, -91.44112534090365
102.2287, -91.44744102964866
102.3287, -91.4272499641154
102.4285, -91.45701025501987
102.5304, -91.39720259644982
102.6301, -91.45796717755698
102.7299, -91.45796717755698
102.8318, -91.46016809939236
102.9322, -91.47012009377842
103.0321, -91.45681887051244
103.1318, -91.48294285577583
103.2339, -91.5350951340489
103.3338, -91.48657916141688
103.4337, -91.51949729669384
103.5356, -91.48916285226711
103.6353, -91.53098036713928
103.7352, -91.51796622063445
103.837, -91.54763081928519
103.9369, -91.53920990095853
104.0367, -91.57413757356342
104.1385, -91.60102709685651
104.2384, -91.58150587709926
104.3382, -91.59164925599273
104.4402, -91.61050062997401
104.5396, -91.60045294333425
104.6415, -91.61289293631681
104.7414, -91.61270155180938
104.8411, -91.63796430678937
104.9432, -91.64408861102694
105.0432, -91.64399291877324
105.143, -91.66370552303792
105.2428, -91.59844340600628
105.3446, -91.63710307650597
105.4445, -91.6024624806622
105.5444, -91.65872952584489
105.6463, -91.62102677788234
105.746, -91.67346613291654
105.8479, -91.66026060190428
105.9478, -91.64887322371254
106.0477, -91.66590644487329
106.1475, -91.70140827100047
106.2494, -91.7080110365066
106.3491, -91.71394395623675
106.4493, -91.73040302387523
106.5513, -91.72332179710052
106.6511, -91.75681408589975
106.7509, -91.6985375033891
106.8528, -91.72246056681712
106.9535, -91.73135994641234
107.0535, -91.7096378048197
107.1532, -91.74198178657439
107.2551, -91.73250825345688
107.3559, -91.75059408940847
107.4558, -91.77614392114958
107.5556, -91.78619160778935
107.6575, -91.79078483596753
107.7572, -91.77978022679065
107.857, -91.75499593307923
107.9591, -91.82724358463183
108.059, -91.77212484649368
108.1587, -91.75891931548142
108.2585, -91.81853558954403
108.3605, -91.82092789588684
108.4604, -91.77088084719543
108.5602, -91.8365257332419
108.6621, -91.82934881421349
108.7621, -91.84781741917992
108.8618, -91.8262866620947
108.9638, -91.85432449243234
109.0637, -91.85365464665635
109.1635, -91.87202755936907
109.2654, -91.84475526706113
109.3658, -91.87164479035422
109.4658, -91.89001770306695
109.5656, -91.83805680930129
109.6675, -91.86408510231098
109.7673, -91.8682955614743
109.8671, -91.88867801151497
109.9693, -91.9149933812858
110.0696, -91.89231431715604
110.1698, -91.89221862490231
110.2699, -91.90446723337746
110.3705, -91.9126967671967
110.4706, -91.91097430662988
110.5727, -91.95212197572607
110.6728, -91.92513676017927
110.7728, -91.94025613626577
110.8729, -91.93202660244654
110.973, -91.99623610468733
111.0752, -91.98188226663052
111.1754, -91.99929825680611
111.2754, -91.99279118355369
111.3758, -91.98360472719735
111.476, -91.98858072439036
111.5762, -92.01987209135422
111.6783, -91.9704948884388
111.7792, -92.06121114495782
111.8793, -91.98025549831742
111.9794, -92.02140316741361
112.0794, -91.99154718425544
112.1795, -92.00618809907338
112.2818, -92.01317363359436
112.382, -92.03929761885776
112.4818, -92.06178529848009
112.5815, -92.06293360552463
112.6832, -92.05719207030191
112.7829, -92.11087542463439
112.8831, -92.04704869140843
112.985, -92.06924929426964
113.0849, -92.07671329005917
113.1846, -92.11135388590294
113.2863, -92.10245450630772
113.3859, -92.10991850209726
113.4876, -92.12733449227285
113.5872, -92.13738217891262
113.6868, -92.10369850560598
113.7885, -92.12551633945233
113.8881, -92.1427409451205
113.99, -92.16513293248912
114.0897, -92.14790832682095
114.1893, -92.15317140077511
114.2904, -92.15259724725284
114.3922, -92.15977416628124
114.4918, -92.19307507057304
114.5914, -92.20360121848137
114.6931, -92.22226120795523
114.7926, -92.19862522128834
114.8944, -92.16675970080223
114.9942, -92.18025230857563
115.0958, -92.17010892968214
115.1951, -92.19393630085645
115.2971, -92.22360089950719
115.3968, -92.16408031769829
115.4967, -92.23939012136968
115.5966, -92.1911612254988
115.6985, -92.23450981643036
115.7983, -92.25527503548588
115.9001, -92.23546673896749
115.9999, -92.25116026857627
116.0997, -92.25450949745618
116.2017, -92.27891102215276
116.3014, -92.27135133410951
116.4011, -92.30647039122184
116.5026, -92.32647007224766
116.6027, -92.31661377011531
116.7022, -92.27814548412307
116.8045, -92.28723624822571
116.9046, -92.29479593626897
117.0048, -92.28580086442003
117.1049, -92.33709191240969
117.2072, -92.31182915742971
117.3073, -92.31010669686289
117.4078, -92.32484330393456
117.5079, -92.3490534441237
117.608, -92.29374332147813
117.708, -92.38005773432641
117.8101, -92.35441221033157
117.9101, -92.38646911532511
118.0103, -92.38254573292292
118.1104, -92.35603897864469
118.2105, -92.35431651807787
118.3126, -92.3736463533277
118.4131, -92.40618171958981
118.5132, -92.39756941675572
118.6133, -92.38512942377315
118.7133, -92.39881341605397
118.8154, -92.40589464282867
118.9154, -92.40264110620245
119.0156, -92.38933988293648
119.1151, -92.4165164829907
119.2172, -92.45402784644584
119.3172, -92.44694661967114
119.4177, -92.41862171257237
119.5179, -92.4925918246918
119.618, -92.47153952887514
119.7201, -92.52082103953686
119.8201, -92.46206599575765
119.9201, -92.47929060142582
120.0205, -92.4846493676337
120.1207, -92.51948134798488
120.2229, -92.52838072758011
120.3232, -92.48608475143938
120.4237, -92.557662557216
120.5238, -92.53986379802555
120.624, -92.5584280952457
120.7242, -92.52589272898359
120.8242, -92.51211304444905
120.9263, -92.55680132693259
121.0265, -92.55115548396358
121.1266, -92.54608379451683
121.2267, -92.55268656002298
121.3268, -92.58656161783703
121.4293, -92.557662557216
121.5289, -92.57182501076538
121.629, -92.63153697708171
121.7291, -92.63909666512497
121.8291, -92.60034130237158
121.9315, -92.65584280952457
122.0316, -92.54799763959107
122.1318, -92.65316342642063
122.2318, -92.62952743975376
122.3318, -92.63967081864723
122.4343, -92.58790130938901
122.5345, -92.66598618841806
122.6346, -92.65718250107655
122.7346, -92.67718218210237
122.8346, -92.68053141098228
122.9347, -92.64962281303329
123.0373, -92.70560278145484
123.1374, -92.69306709621857
123.2375, -92.69478955678538
123.3376, -92.74799444984929
123.4382, -92.71172708569242
123.5383, -92.71746862091514
123.6384, -92.73823383997066
123.7406, -92.72885599910688
123.8407, -92.73000430615143
123.9414, -92.7464633737899
124.0416, -92.72464553994355
124.1416, -92.73899937800036
124.2417, -92.75469290760914
124.3438, -92.78024273935026
124.4442, -92.7694295146808
124.5445, -92.81354364364205
124.6446, -92.80387872601713
124.7447, -92.78847227316949
124.8447, -92.8210076394316
124.9468, -92.80311318798744
125.0471, -92.80952456898615
125.1472, -92.8194765633722
125.2474, -92.84072024369628
125.3474, -92.83316055565302
125.4501, -92.84052885918885
125.5482, -92.82789748169886
125.6503, -92.84827993173953
125.7504, -92.83507440072727
125.8504, -92.86741838248194
125.9505, -92.83794516833863
126.0527, -92.82368702253554
126.1528, -92.89995374874404
126.2528, -92.86981068882474
126.3536, -92.8789014529274
126.4544, -92.85612669654392
126.5547, -92.90416420790737
126.6548, -92.92454665794804
126.7548, -92.93239342275244
126.8569, -92.91392481778601
126.957, -92.89937959522177
127.0571, -92.89574328958071
127.1571, -92.90617374523534
127.2572, -92.94349372418303
127.3594, -92.96445032774598
127.4598, -92.94990510518174
127.56, -92.96598140380537
127.66, -92.93344603754326
127.7601, -92.93028819317077
127.8601, -92.97928262707134
127.9624, -93.0336358271798
128.0625, -93.0058850736033
128.1621, -92.96512017352195
128.2638, -93.01727245179504
128.3635, -93.02071737292867
128.4632, -93.01287060812427
128.5638, -93.00779891867754
128.6655, -93.02760721519593
128.7658, -93.03679367155229
128.8655, -93.01679399052647
128.9673, -93.04492751311781
129.0672, -93.07698441811137
129.1669, -93.01870783560071
129.2685, -93.02741583068851
129.3682, -93.0947831773018
129.4699, -93.06607550118818
129.5695, -93.05133889411653
129.6691, -93.08942441109393
129.7708, -93.09727117589831
129.8704, -93.11392162804421
129.9722, -93.08062072375242
130.0722, -93.15918406405002
130.1718, -93.10760593929922
130.2735, -93.10358686464332
130.3731, -93.12511762172852
130.4748, -93.13822746048707
130.5745, -93.14195945838185
130.6763, -93.12502192947481
130.7759, -93.12904100413073
130.8756, -93.17573882394221
130.9779, -93.16081083236313
131.0778, -93.12540469848966
131.1776, -93.16052375560199
131.2768, -93.14368191894867
131.3787, -93.18884866270076
131.4788, -93.20387234653356
131.5807, -93.1930591218641
131.6805, -93.16741359786926
131.7803, -93.16320313870592
131.8821, -93.14349053444124
131.9822, -93.20808280569689
132.082, -93.21334587965104
132.1838, -93.21899172262006
132.2836, -93.22473325784279
132.3833, -93.1795665140907
132.4851, -93.26234031355162
132.5851, -93.23583355927339
132.6848, -93.24243632477952
132.7867, -93.22387202755938
132.8864, -93.25535477903064
132.9865, -93.26913446356518
133.0885, -93.25487631776208
133.1883, -93.2764070748473
133.2881, -93.28367968612942
133.39, -93.29640675587312
133.4898, -93.3201384347937
133.5897, -93.33286550453741
133.691, -93.31229166998932
133.7908, -93.26903877131147
133.8926, -93.27841661217525
133.9928, -93.34157349962521
134.0926, -93.301765522081
134.1924, -93.34760211160908
134.2943, -93.33401381158195
134.3941, -93.30884674885569
134.4939, -93.32157381859939
134.5959, -93.34367872920687
134.6956, -93.29812921643993
134.7975, -93.33583196440249
134.8972, -93.34980303344445
134.9973, -93.39248177860003
135.097, -93.36501810178467
135.1989, -93.35870241303967
135.2987, -93.38061593913973
135.3985, -93.36061625811391
135.5005, -93.37851070955807
135.6003, -93.38396516801966
135.7001, -93.39449131592798
135.8024, -93.39898885185245
135.9026, -93.44166759700802
136.0029, -93.40530454059744
136.1025, -93.41257715187956
136.2047, -93.44712205546962
136.3048, -93.44176328926174
136.4051, -93.43305529417394
136.5053, -93.43707436882985
136.605, -93.47305465622559
136.7067, -93.47764788440377
136.8064, -93.49248018372913
136.9082, -93.45554297379627
137.0079, -93.44884451603643
137.1076, -93.48501618793959
137.2093, -93.46042327873559
137.3089, -93.47535127031468
137.4106, -93.5009967943095
137.5104, -93.46788727452514
137.6101, -93.50654694502481
137.7124, -93.53018293169168
137.8126, -93.5072167908008
137.9127, -93.5214749366039
138.0129, -93.541378925376
138.1129, -93.55429737962713
138.2151, -93.52759924084145
138.3152, -93.54673769158387
138.4154, -93.54463246200221
138.5152, -93.5652062965503
138.6154, -93.56491921978916
138.7158, -93.53678569719781
138.8181, -93.55994322259613
138.9181, -93.58156967193506
139.0183, -93.58118690292021
139.1184, -93.55534999441795
139.2185, -93.56195275992408
139.3206, -93.5532447648363
139.4207, -93.56472783528174
139.5211, -93.6080764262133
139.6213, -93.56807706416166
139.7215, -93.6112342705858
139.8215, -93.57544536769748
139.9236, -93.62271734103125
140.0237, -93.6326693354173
140.1238, -93.63860225514745
140.2238, -93.65027671010033
140.3238, -93.66051578124751
